SEGID,Highway,Name,AADT18,AADT19
407001,407,Brock-LakeRidge,1000,1050
407002,407,LakeRidge-Hwy412,1500,1575
407003,407,Hwy412-Baldwin,2000,2100
407004,407,Baldwin-Thickson,2500,2625
407005,407,Thickson-Simcoe,3000,3150
407006,407,Simcoe-Harmony,3500,3675
407007,407,Harmony-Enfield,4000,4200
407008,407,Enfield-Hwy418,4500,4725
407009,407,Hwy418-RR57,5000,5250
407010,407,RR57-DCTownline,5500,5775
407011,407,DCTownline-Hwy35/115,6000,6300
407012,407,Hwy412-Hwy7/412,6500,6825
407013,407,Hwy418-Taunton418,7000,7350
412001,412,Hwy7/412-Taunton412,7500,7875
412002,412,Taunton412-Dundas412,8000,8400
412003,412,Dundas412-Hwy401/412,8500,8925
418001,418,Taunton418-Hwy2/418,9000,9450
418002,418,Hwy2/418-Hwy401/418,9500,9975
